n,num steps,num combos with num steps
3,2,1
4,2,1
5,2,2
6,2,2
6,3,1
7,2,3
7,3,1
8,2,3
8,3,2
9,2,4
9,3,3
10,2,4
10,3,4
10,4,1
11,2,5
11,3,5
11,4,1
12,2,5
12,3,7
12,4,2
13,2,6
13,3,8
13,4,3
14,2,6
14,3,10
14,4,5
15,2,7
15,3,12
15,4,6
15,5,1
16,2,7
16,3,14
16,4,9
16,5,1
17,2,8
17,3,16
17,4,11
17,5,2
18,2,8
18,3,19
18,4,15
18,5,3
19,2,9
19,3,21
19,4,18
19,5,5
20,2,9
20,3,24
20,4,23
20,5,7
21,2,10
21,3,27
21,4,27
21,5,10
21,6,1
22,2,10
22,3,30
22,4,34
22,5,13
22,6,1
23,2,11
23,3,33
23,4,39
23,5,18
23,6,2
24,2,11
24,3,37
24,4,47
24,5,23
24,6,3
25,2,12
25,3,40
25,4,54
25,5,30
25,6,5
26,2,12
26,3,44
26,4,64
26,5,37
26,6,7
27,2,13
27,3,48
27,4,72
27,5,47
27,6,11
28,2,13
28,3,52
28,4,84
28,5,57
28,6,14
28,7,1
29,2,14
29,3,56
29,4,94
29,5,70
29,6,20
29,7,1
30,2,14
30,3,61
30,4,108
30,5,84
30,6,26
30,7,2
31,2,15
31,3,65
31,4,120
31,5,101
31,6,35
31,7,3
32,2,15
32,3,70
32,4,136
32,5,119
32,6,44
32,7,5
33,2,16
33,3,75
33,4,150
33,5,141
33,6,58
33,7,7
34,2,16
34,3,80
34,4,169
34,5,164
34,6,71
34,7,11
35,2,17
35,3,85
35,4,185
35,5,192
35,6,90
35,7,15
36,2,17
36,3,91
36,4,206
36,5,221
36,6,110
36,7,21
36,8,1
37,2,18
37,3,96
37,4,225
37,5,255
37,6,136
37,7,28
37,8,1
38,2,18
38,3,102
38,4,249
38,5,291
38,6,163
38,7,38
38,8,2
39,2,19
39,3,108
39,4,270
39,5,333
39,6,199
39,7,49
39,8,3
40,2,19
40,3,114
40,4,297
40,5,377
40,6,235
40,7,65
40,8,5
41,2,20
41,3,120
41,4,321
41,5,427
41,6,282
41,7,82
41,8,7
42,2,20
42,3,127
42,4,351
42,5,480
42,6,331
42,7,105
42,8,11
43,2,21
43,3,133
43,4,378
43,5,540
43,6,391
43,7,131
43,8,15
44,2,21
44,3,140
44,4,411
44,5,603
44,6,454
44,7,164
44,8,22
