1,24
2,23
3,22
4,21
5,20
6,19
7,18
8,17
9,16
10,15
11,14
12,13
1,2,22
1,3,21
1,4,20
1,5,19
1,6,18
1,7,17
1,8,16
1,9,15
1,10,14
1,11,13
2,3,20
2,4,19
2,5,18
2,6,17
2,7,16
2,8,15
2,9,14
2,10,13
2,11,12
3,4,18
3,5,17
3,6,16
3,7,15
3,8,14
3,9,13
3,10,12
4,5,16
4,6,15
4,7,14
4,8,13
4,9,12
4,10,11
5,6,14
5,7,13
5,8,12
5,9,11
6,7,12
6,8,11
6,9,10
7,8,10
1,2,3,19
1,2,4,18
1,2,5,17
1,2,6,16
1,2,7,15
1,2,8,14
1,2,9,13
1,2,10,12
1,3,4,17
1,3,5,16
1,3,6,15
1,3,7,14
1,3,8,13
1,3,9,12
1,3,10,11
1,4,5,15
1,4,6,14
1,4,7,13
1,4,8,12
1,4,9,11
1,5,6,13
1,5,7,12
1,5,8,11
1,5,9,10
1,6,7,11
1,6,8,10
1,7,8,9
2,3,4,16
2,3,5,15
2,3,6,14
2,3,7,13
2,3,8,12
2,3,9,11
2,4,5,14
2,4,6,13
2,4,7,12
2,4,8,11
2,4,9,10
2,5,6,12
2,5,7,11
2,5,8,10
2,6,7,10
2,6,8,9
3,4,5,13
3,4,6,12
3,4,7,11
3,4,8,10
3,5,6,11
3,5,7,10
3,5,8,9
3,6,7,9
4,5,6,10
4,5,7,9
4,6,7,8
1,2,3,4,15
1,2,3,5,14
1,2,3,6,13
1,2,3,7,12
1,2,3,8,11
1,2,3,9,10
1,2,4,5,13
1,2,4,6,12
1,2,4,7,11
1,2,4,8,10
1,2,5,6,11
1,2,5,7,10
1,2,5,8,9
1,2,6,7,9
1,3,4,5,12
1,3,4,6,11
1,3,4,7,10
1,3,4,8,9
1,3,5,6,10
1,3,5,7,9
1,3,6,7,8
1,4,5,6,9
1,4,5,7,8
2,3,4,5,11
2,3,4,6,10
2,3,4,7,9
2,3,5,6,9
2,3,5,7,8
2,4,5,6,8
3,4,5,6,7
1,2,3,4,5,10
1,2,3,4,6,9
1,2,3,4,7,8
1,2,3,5,6,8
1,2,4,5,6,7
