1,26
2,25
3,24
4,23
5,22
6,21
7,20
8,19
9,18
10,17
11,16
12,15
13,14
1,2,24
1,3,23
1,4,22
1,5,21
1,6,20
1,7,19
1,8,18
1,9,17
1,10,16
1,11,15
1,12,14
2,3,22
2,4,21
2,5,20
2,6,19
2,7,18
2,8,17
2,9,16
2,10,15
2,11,14
2,12,13
3,4,20
3,5,19
3,6,18
3,7,17
3,8,16
3,9,15
3,10,14
3,11,13
4,5,18
4,6,17
4,7,16
4,8,15
4,9,14
4,10,13
4,11,12
5,6,16
5,7,15
5,8,14
5,9,13
5,10,12
6,7,14
6,8,13
6,9,12
6,10,11
7,8,12
7,9,11
8,9,10
1,2,3,21
1,2,4,20
1,2,5,19
1,2,6,18
1,2,7,17
1,2,8,16
1,2,9,15
1,2,10,14
1,2,11,13
1,3,4,19
1,3,5,18
1,3,6,17
1,3,7,16
1,3,8,15
1,3,9,14
1,3,10,13
1,3,11,12
1,4,5,17
1,4,6,16
1,4,7,15
1,4,8,14
1,4,9,13
1,4,10,12
1,5,6,15
1,5,7,14
1,5,8,13
1,5,9,12
1,5,10,11
1,6,7,13
1,6,8,12
1,6,9,11
1,7,8,11
1,7,9,10
2,3,4,18
2,3,5,17
2,3,6,16
2,3,7,15
2,3,8,14
2,3,9,13
2,3,10,12
2,4,5,16
2,4,6,15
2,4,7,14
2,4,8,13
2,4,9,12
2,4,10,11
2,5,6,14
2,5,7,13
2,5,8,12
2,5,9,11
2,6,7,12
2,6,8,11
2,6,9,10
2,7,8,10
3,4,5,15
3,4,6,14
3,4,7,13
3,4,8,12
3,4,9,11
3,5,6,13
3,5,7,12
3,5,8,11
3,5,9,10
3,6,7,11
3,6,8,10
3,7,8,9
4,5,6,12
4,5,7,11
4,5,8,10
4,6,7,10
4,6,8,9
5,6,7,9
1,2,3,4,17
1,2,3,5,16
1,2,3,6,15
1,2,3,7,14
1,2,3,8,13
1,2,3,9,12
1,2,3,10,11
1,2,4,5,15
1,2,4,6,14
1,2,4,7,13
1,2,4,8,12
1,2,4,9,11
1,2,5,6,13
1,2,5,7,12
1,2,5,8,11
1,2,5,9,10
1,2,6,7,11
1,2,6,8,10
1,2,7,8,9
1,3,4,5,14
1,3,4,6,13
1,3,4,7,12
1,3,4,8,11
1,3,4,9,10
1,3,5,6,12
1,3,5,7,11
1,3,5,8,10
1,3,6,7,10
1,3,6,8,9
1,4,5,6,11
1,4,5,7,10
1,4,5,8,9
1,4,6,7,9
1,5,6,7,8
2,3,4,5,13
2,3,4,6,12
2,3,4,7,11
2,3,4,8,10
2,3,5,6,11
2,3,5,7,10
2,3,5,8,9
2,3,6,7,9
2,4,5,6,10
2,4,5,7,9
2,4,6,7,8
3,4,5,6,9
3,4,5,7,8
1,2,3,4,5,12
1,2,3,4,6,11
1,2,3,4,7,10
1,2,3,4,8,9
1,2,3,5,6,10
1,2,3,5,7,9
1,2,3,6,7,8
1,2,4,5,6,9
1,2,4,5,7,8
1,3,4,5,6,8
2,3,4,5,6,7
