1,30
2,29
3,28
4,27
5,26
6,25
7,24
8,23
9,22
10,21
11,20
12,19
13,18
14,17
15,16
1,2,28
1,3,27
1,4,26
1,5,25
1,6,24
1,7,23
1,8,22
1,9,21
1,10,20
1,11,19
1,12,18
1,13,17
1,14,16
2,3,26
2,4,25
2,5,24
2,6,23
2,7,22
2,8,21
2,9,20
2,10,19
2,11,18
2,12,17
2,13,16
2,14,15
3,4,24
3,5,23
3,6,22
3,7,21
3,8,20
3,9,19
3,10,18
3,11,17
3,12,16
3,13,15
4,5,22
4,6,21
4,7,20
4,8,19
4,9,18
4,10,17
4,11,16
4,12,15
4,13,14
5,6,20
5,7,19
5,8,18
5,9,17
5,10,16
5,11,15
5,12,14
6,7,18
6,8,17
6,9,16
6,10,15
6,11,14
6,12,13
7,8,16
7,9,15
7,10,14
7,11,13
8,9,14
8,10,13
8,11,12
9,10,12
1,2,3,25
1,2,4,24
1,2,5,23
1,2,6,22
1,2,7,21
1,2,8,20
1,2,9,19
1,2,10,18
1,2,11,17
1,2,12,16
1,2,13,15
1,3,4,23
1,3,5,22
1,3,6,21
1,3,7,20
1,3,8,19
1,3,9,18
1,3,10,17
1,3,11,16
1,3,12,15
1,3,13,14
1,4,5,21
1,4,6,20
1,4,7,19
1,4,8,18
1,4,9,17
1,4,10,16
1,4,11,15
1,4,12,14
1,5,6,19
1,5,7,18
1,5,8,17
1,5,9,16
1,5,10,15
1,5,11,14
1,5,12,13
1,6,7,17
1,6,8,16
1,6,9,15
1,6,10,14
1,6,11,13
1,7,8,15
1,7,9,14
1,7,10,13
1,7,11,12
1,8,9,13
1,8,10,12
1,9,10,11
2,3,4,22
2,3,5,21
2,3,6,20
2,3,7,19
2,3,8,18
2,3,9,17
2,3,10,16
2,3,11,15
2,3,12,14
2,4,5,20
2,4,6,19
2,4,7,18
2,4,8,17
2,4,9,16
2,4,10,15
2,4,11,14
2,4,12,13
2,5,6,18
2,5,7,17
2,5,8,16
2,5,9,15
2,5,10,14
2,5,11,13
2,6,7,16
2,6,8,15
2,6,9,14
2,6,10,13
2,6,11,12
2,7,8,14
2,7,9,13
2,7,10,12
2,8,9,12
2,8,10,11
3,4,5,19
3,4,6,18
3,4,7,17
3,4,8,16
3,4,9,15
3,4,10,14
3,4,11,13
3,5,6,17
3,5,7,16
3,5,8,15
3,5,9,14
3,5,10,13
3,5,11,12
3,6,7,15
3,6,8,14
3,6,9,13
3,6,10,12
3,7,8,13
3,7,9,12
3,7,10,11
3,8,9,11
4,5,6,16
4,5,7,15
4,5,8,14
4,5,9,13
4,5,10,12
4,6,7,14
4,6,8,13
4,6,9,12
4,6,10,11
4,7,8,12
4,7,9,11
4,8,9,10
5,6,7,13
5,6,8,12
5,6,9,11
5,7,8,11
5,7,9,10
6,7,8,10
1,2,3,4,21
1,2,3,5,20
1,2,3,6,19
1,2,3,7,18
1,2,3,8,17
1,2,3,9,16
1,2,3,10,15
1,2,3,11,14
1,2,3,12,13
1,2,4,5,19
1,2,4,6,18
1,2,4,7,17
1,2,4,8,16
1,2,4,9,15
1,2,4,10,14
1,2,4,11,13
1,2,5,6,17
1,2,5,7,16
1,2,5,8,15
1,2,5,9,14
1,2,5,10,13
1,2,5,11,12
1,2,6,7,15
1,2,6,8,14
1,2,6,9,13
1,2,6,10,12
1,2,7,8,13
1,2,7,9,12
1,2,7,10,11
1,2,8,9,11
1,3,4,5,18
1,3,4,6,17
1,3,4,7,16
1,3,4,8,15
1,3,4,9,14
1,3,4,10,13
1,3,4,11,12
1,3,5,6,16
1,3,5,7,15
1,3,5,8,14
1,3,5,9,13
1,3,5,10,12
1,3,6,7,14
1,3,6,8,13
1,3,6,9,12
1,3,6,10,11
1,3,7,8,12
1,3,7,9,11
1,3,8,9,10
1,4,5,6,15
1,4,5,7,14
1,4,5,8,13
1,4,5,9,12
1,4,5,10,11
1,4,6,7,13
1,4,6,8,12
1,4,6,9,11
1,4,7,8,11
1,4,7,9,10
1,5,6,7,12
1,5,6,8,11
1,5,6,9,10
1,5,7,8,10
1,6,7,8,9
2,3,4,5,17
2,3,4,6,16
2,3,4,7,15
2,3,4,8,14
2,3,4,9,13
2,3,4,10,12
2,3,5,6,15
2,3,5,7,14
2,3,5,8,13
2,3,5,9,12
2,3,5,10,11
2,3,6,7,13
2,3,6,8,12
2,3,6,9,11
2,3,7,8,11
2,3,7,9,10
2,4,5,6,14
2,4,5,7,13
2,4,5,8,12
2,4,5,9,11
2,4,6,7,12
2,4,6,8,11
2,4,6,9,10
2,4,7,8,10
2,5,6,7,11
2,5,6,8,10
2,5,7,8,9
3,4,5,6,13
3,4,5,7,12
3,4,5,8,11
3,4,5,9,10
3,4,6,7,11
3,4,6,8,10
3,4,7,8,9
3,5,6,7,10
3,5,6,8,9
4,5,6,7,9
1,2,3,4,5,16
1,2,3,4,6,15
1,2,3,4,7,14
1,2,3,4,8,13
1,2,3,4,9,12
1,2,3,4,10,11
1,2,3,5,6,14
1,2,3,5,7,13
1,2,3,5,8,12
1,2,3,5,9,11
1,2,3,6,7,12
1,2,3,6,8,11
1,2,3,6,9,10
1,2,3,7,8,10
1,2,4,5,6,13
1,2,4,5,7,12
1,2,4,5,8,11
1,2,4,5,9,10
1,2,4,6,7,11
1,2,4,6,8,10
1,2,4,7,8,9
1,2,5,6,7,10
