1,39
2,38
3,37
4,36
5,35
6,34
7,33
8,32
9,31
10,30
11,29
12,28
13,27
14,26
15,25
16,24
17,23
18,22
19,21
1,2,37
1,3,36
1,4,35
1,5,34
1,6,33
1,7,32
1,8,31
1,9,30
1,10,29
1,11,28
1,12,27
1,13,26
1,14,25
1,15,24
1,16,23
1,17,22
1,18,21
1,19,20
2,3,35
2,4,34
2,5,33
2,6,32
2,7,31
2,8,30
2,9,29
2,10,28
2,11,27
2,12,26
2,13,25
2,14,24
2,15,23
2,16,22
2,17,21
2,18,20
3,4,33
3,5,32
3,6,31
3,7,30
3,8,29
3,9,28
3,10,27
3,11,26
3,12,25
3,13,24
3,14,23
3,15,22
3,16,21
3,17,20
3,18,19
4,5,31
4,6,30
4,7,29
4,8,28
4,9,27
4,10,26
4,11,25
4,12,24
4,13,23
4,14,22
4,15,21
4,16,20
4,17,19
5,6,29
5,7,28
5,8,27
5,9,26
5,10,25
5,11,24
5,12,23
5,13,22
5,14,21
5,15,20
5,16,19
5,17,18
6,7,27
6,8,26
6,9,25
6,10,24
6,11,23
6,12,22
6,13,21
6,14,20
6,15,19
6,16,18
7,8,25
7,9,24
7,10,23
7,11,22
7,12,21
7,13,20
7,14,19
7,15,18
7,16,17
8,9,23
8,10,22
8,11,21
8,12,20
8,13,19
8,14,18
8,15,17
9,10,21
9,11,20
9,12,19
9,13,18
9,14,17
9,15,16
10,11,19
10,12,18
10,13,17
10,14,16
11,12,17
11,13,16
11,14,15
12,13,15
1,2,3,34
1,2,4,33
1,2,5,32
1,2,6,31
1,2,7,30
1,2,8,29
1,2,9,28
1,2,10,27
1,2,11,26
1,2,12,25
1,2,13,24
1,2,14,23
1,2,15,22
1,2,16,21
1,2,17,20
1,2,18,19
1,3,4,32
1,3,5,31
1,3,6,30
1,3,7,29
1,3,8,28
1,3,9,27
1,3,10,26
1,3,11,25
1,3,12,24
1,3,13,23
1,3,14,22
1,3,15,21
1,3,16,20
1,3,17,19
1,4,5,30
1,4,6,29
1,4,7,28
1,4,8,27
1,4,9,26
1,4,10,25
1,4,11,24
1,4,12,23
1,4,13,22
1,4,14,21
1,4,15,20
1,4,16,19
1,4,17,18
1,5,6,28
1,5,7,27
1,5,8,26
1,5,9,25
1,5,10,24
1,5,11,23
1,5,12,22
1,5,13,21
1,5,14,20
1,5,15,19
1,5,16,18
1,6,7,26
