1,22
2,21
3,20
4,19
5,18
6,17
7,16
8,15
9,14
10,13
11,12
1,2,20
1,3,19
1,4,18
1,5,17
1,6,16
1,7,15
1,8,14
1,9,13
1,10,12
2,3,18
2,4,17
2,5,16
2,6,15
2,7,14
2,8,13
2,9,12
2,10,11
3,4,16
3,5,15
3,6,14
3,7,13
3,8,12
3,9,11
4,5,14
4,6,13
4,7,12
4,8,11
4,9,10
5,6,12
5,7,11
5,8,10
6,7,10
6,8,9
1,2,3,17
1,2,4,16
1,2,5,15
1,2,6,14
1,2,7,13
1,2,8,12
1,2,9,11
1,3,4,15
1,3,5,14
1,3,6,13
1,3,7,12
1,3,8,11
1,3,9,10
1,4,5,13
1,4,6,12
1,4,7,11
1,4,8,10
1,5,6,11
1,5,7,10
1,5,8,9
1,6,7,9
2,3,4,14
2,3,5,13
2,3,6,12
2,3,7,11
2,3,8,10
2,4,5,12
2,4,6,11
2,4,7,10
2,4,8,9
2,5,6,10
2,5,7,9
2,6,7,8
3,4,5,11
3,4,6,10
3,4,7,9
3,5,6,9
3,5,7,8
4,5,6,8
1,2,3,4,13
1,2,3,5,12
1,2,3,6,11
1,2,3,7,10
1,2,3,8,9
1,2,4,5,11
1,2,4,6,10
1,2,4,7,9
1,2,5,6,9
1,2,5,7,8
1,3,4,5,10
1,3,4,6,9
1,3,4,7,8
1,3,5,6,8
1,4,5,6,7
2,3,4,5,9
2,3,4,6,8
2,3,5,6,7
1,2,3,4,5,8
1,2,3,4,6,7
