1,27
2,26
3,25
4,24
5,23
6,22
7,21
8,20
9,19
10,18
11,17
12,16
13,15
1,2,25
1,3,24
1,4,23
1,5,22
1,6,21
1,7,20
1,8,19
1,9,18
1,10,17
1,11,16
1,12,15
1,13,14
2,3,23
2,4,22
2,5,21
2,6,20
2,7,19
2,8,18
2,9,17
2,10,16
2,11,15
2,12,14
3,4,21
3,5,20
3,6,19
3,7,18
3,8,17
3,9,16
3,10,15
3,11,14
3,12,13
4,5,19
4,6,18
4,7,17
4,8,16
4,9,15
4,10,14
4,11,13
5,6,17
5,7,16
5,8,15
5,9,14
5,10,13
5,11,12
6,7,15
6,8,14
6,9,13
6,10,12
7,8,13
7,9,12
7,10,11
8,9,11
1,2,3,22
1,2,4,21
1,2,5,20
1,2,6,19
1,2,7,18
1,2,8,17
1,2,9,16
1,2,10,15
1,2,11,14
1,2,12,13
1,3,4,20
1,3,5,19
1,3,6,18
1,3,7,17
1,3,8,16
1,3,9,15
1,3,10,14
1,3,11,13
1,4,5,18
1,4,6,17
1,4,7,16
1,4,8,15
1,4,9,14
1,4,10,13
1,4,11,12
1,5,6,16
1,5,7,15
1,5,8,14
1,5,9,13
1,5,10,12
1,6,7,14
1,6,8,13
1,6,9,12
1,6,10,11
1,7,8,12
1,7,9,11
1,8,9,10
2,3,4,19
2,3,5,18
2,3,6,17
2,3,7,16
2,3,8,15
2,3,9,14
2,3,10,13
2,3,11,12
2,4,5,17
2,4,6,16
2,4,7,15
2,4,8,14
2,4,9,13
2,4,10,12
2,5,6,15
2,5,7,14
2,5,8,13
2,5,9,12
2,5,10,11
2,6,7,13
2,6,8,12
2,6,9,11
2,7,8,11
2,7,9,10
3,4,5,16
3,4,6,15
3,4,7,14
3,4,8,13
3,4,9,12
3,4,10,11
3,5,6,14
3,5,7,13
3,5,8,12
3,5,9,11
3,6,7,12
3,6,8,11
3,6,9,10
3,7,8,10
4,5,6,13
4,5,7,12
4,5,8,11
4,5,9,10
4,6,7,11
4,6,8,10
4,7,8,9
5,6,7,10
5,6,8,9
1,2,3,4,18
1,2,3,5,17
1,2,3,6,16
1,2,3,7,15
1,2,3,8,14
1,2,3,9,13
1,2,3,10,12
1,2,4,5,16
1,2,4,6,15
1,2,4,7,14
1,2,4,8,13
1,2,4,9,12
1,2,4,10,11
1,2,5,6,14
1,2,5,7,13
1,2,5,8,12
1,2,5,9,11
1,2,6,7,12
1,2,6,8,11
1,2,6,9,10
1,2,7,8,10
1,3,4,5,15
1,3,4,6,14
1,3,4,7,13
1,3,4,8,12
1,3,4,9,11
1,3,5,6,13
1,3,5,7,12
1,3,5,8,11
1,3,5,9,10
1,3,6,7,11
1,3,6,8,10
1,3,7,8,9
1,4,5,6,12
1,4,5,7,11
1,4,5,8,10
1,4,6,7,10
1,4,6,8,9
1,5,6,7,9
2,3,4,5,14
2,3,4,6,13
2,3,4,7,12
2,3,4,8,11
2,3,4,9,10
2,3,5,6,12
2,3,5,7,11
2,3,5,8,10
2,3,6,7,10
2,3,6,8,9
2,4,5,6,11
2,4,5,7,10
2,4,5,8,9
2,4,6,7,9
2,5,6,7,8
3,4,5,6,10
3,4,5,7,9
3,4,6,7,8
1,2,3,4,5,13
1,2,3,4,6,12
1,2,3,4,7,11
1,2,3,4,8,10
1,2,3,5,6,11
1,2,3,5,7,10
1,2,3,5,8,9
1,2,3,6,7,9
1,2,4,5,6,10
1,2,4,5,7,9
1,2,4,6,7,8
1,3,4,5,6,9
1,3,4,5,7,8
2,3,4,5,6,8
1,2,3,4,5,6,7
