1,34
2,33
3,32
4,31
5,30
6,29
7,28
8,27
9,26
10,25
11,24
12,23
13,22
14,21
15,20
16,19
17,18
1,2,32
1,3,31
1,4,30
1,5,29
1,6,28
1,7,27
1,8,26
1,9,25
1,10,24
1,11,23
1,12,22
1,13,21
1,14,20
1,15,19
1,16,18
2,3,30
2,4,29
2,5,28
2,6,27
2,7,26
2,8,25
2,9,24
2,10,23
2,11,22
2,12,21
2,13,20
2,14,19
2,15,18
2,16,17
3,4,28
3,5,27
3,6,26
3,7,25
3,8,24
3,9,23
3,10,22
3,11,21
3,12,20
3,13,19
3,14,18
3,15,17
4,5,26
4,6,25
4,7,24
4,8,23
4,9,22
4,10,21
4,11,20
4,12,19
4,13,18
4,14,17
4,15,16
5,6,24
5,7,23
5,8,22
5,9,21
5,10,20
5,11,19
5,12,18
5,13,17
5,14,16
6,7,22
6,8,21
6,9,20
6,10,19
6,11,18
6,12,17
6,13,16
6,14,15
7,8,20
7,9,19
7,10,18
7,11,17
7,12,16
7,13,15
8,9,18
8,10,17
8,11,16
8,12,15
8,13,14
9,10,16
9,11,15
9,12,14
10,11,14
10,12,13
1,2,3,29
1,2,4,28
1,2,5,27
1,2,6,26
1,2,7,25
1,2,8,24
1,2,9,23
1,2,10,22
1,2,11,21
1,2,12,20
1,2,13,19
1,2,14,18
1,2,15,17
1,3,4,27
1,3,5,26
1,3,6,25
1,3,7,24
1,3,8,23
1,3,9,22
1,3,10,21
1,3,11,20
1,3,12,19
1,3,13,18
1,3,14,17
1,3,15,16
1,4,5,25
1,4,6,24
1,4,7,23
1,4,8,22
1,4,9,21
1,4,10,20
1,4,11,19
1,4,12,18
1,4,13,17
1,4,14,16
1,5,6,23
1,5,7,22
1,5,8,21
1,5,9,20
1,5,10,19
1,5,11,18
1,5,12,17
1,5,13,16
1,5,14,15
1,6,7,21
1,6,8,20
1,6,9,19
1,6,10,18
1,6,11,17
1,6,12,16
1,6,13,15
1,7,8,19
1,7,9,18
1,7,10,17
1,7,11,16
1,7,12,15
1,7,13,14
1,8,9,17
1,8,10,16
1,8,11,15
1,8,12,14
1,9,10,15
1,9,11,14
1,9,12,13
1,10,11,13
2,3,4,26
2,3,5,25
2,3,6,24
2,3,7,23
2,3,8,22
2,3,9,21
2,3,10,20
2,3,11,19
2,3,12,18
2,3,13,17
2,3,14,16
2,4,5,24
2,4,6,23
2,4,7,22
2,4,8,21
2,4,9,20
2,4,10,19
2,4,11,18
2,4,12,17
2,4,13,16
2,4,14,15
2,5,6,22
2,5,7,21
2,5,8,20
2,5,9,19
2,5,10,18
2,5,11,17
2,5,12,16
2,5,13,15
2,6,7,20
2,6,8,19
2,6,9,18
2,6,10,17
2,6,11,16
2,6,12,15
2,6,13,14
2,7,8,18
2,7,9,17
2,7,10,16
2,7,11,15
2,7,12,14
2,8,9,16
2,8,10,15
2,8,11,14
2,8,12,13
2,9,10,14
2,9,11,13
2,10,11,12
3,4,5,23
3,4,6,22
3,4,7,21
3,4,8,20
3,4,9,19
3,4,10,18
3,4,11,17
3,4,12,16
3,4,13,15
3,5,6,21
3,5,7,20
3,5,8,19
3,5,9,18
3,5,10,17
3,5,11,16
3,5,12,15
3,5,13,14
3,6,7,19
3,6,8,18
3,6,9,17
3,6,10,16
3,6,11,15
3,6,12,14
3,7,8,17
3,7,9,16
3,7,10,15
3,7,11,14
3,7,12,13
3,8,9,15
3,8,10,14
3,8,11,13
3,9,10,13
3,9,11,12
4,5,6,20
4,5,7,19
4,5,8,18
4,5,9,17
4,5,10,16
4,5,11,15
4,5,12,14
4,6,7,18
4,6,8,17
4,6,9,16
4,6,10,15
4,6,11,14
4,6,12,13
4,7,8,16
4,7,9,15
4,7,10,14
4,7,11,13
4,8,9,14
4,8,10,13
4,8,11,12
4,9,10,12
5,6,7,17
5,6,8,16
5,6,9,15
5,6,10,14
5,6,11,13
5,7,8,15
5,7,9,14
5,7,10,13
5,7,11,12
5,8,9,13
5,8,10,12
5,9,10,11
6,7,8,14
6,7,9,13
6,7,10,12
6,8,9,12
6,8,10,11
7,8,9,11
1,2,3,4,25
1,2,3,5,24
1,2,3,6,23
1,2,3,7,22
1,2,3,8,21
1,2,3,9,20
1,2,3,10,19
1,2,3,11,18
1,2,3,12,17
1,2,3,13,16
1,2,3,14,15
1,2,4,5,23
1,2,4,6,22
1,2,4,7,21
1,2,4,8,20
1,2,4,9,19
1,2,4,10,18
1,2,4,11,17
1,2,4,12,16
1,2,4,13,15
1,2,5,6,21
1,2,5,7,20
1,2,5,8,19
1,2,5,9,18
1,2,5,10,17
1,2,5,11,16
1,2,5,12,15
1,2,5,13,14
1,2,6,7,19
1,2,6,8,18
1,2,6,9,17
1,2,6,10,16
1,2,6,11,15
1,2,6,12,14
1,2,7,8,17
1,2,7,9,16
1,2,7,10,15
1,2,7,11,14
1,2,7,12,13
1,2,8,9,15
1,2,8,10,14
1,2,8,11,13
1,2,9,10,13
1,2,9,11,12
1,3,4,5,22
1,3,4,6,21
1,3,4,7,20
1,3,4,8,19
1,3,4,9,18
1,3,4,10,17
1,3,4,11,16
1,3,4,12,15
1,3,4,13,14
1,3,5,6,20
1,3,5,7,19
1,3,5,8,18
1,3,5,9,17
1,3,5,10,16
1,3,5,11,15
1,3,5,12,14
1,3,6,7,18
1,3,6,8,17
1,3,6,9,16
1,3,6,10,15
1,3,6,11,14
1,3,6,12,13
1,3,7,8,16
1,3,7,9,15
1,3,7,10,14
1,3,7,11,13
1,3,8,9,14
1,3,8,10,13
1,3,8,11,12
1,3,9,10,12
1,4,5,6,19
1,4,5,7,18
1,4,5,8,17
1,4,5,9,16
1,4,5,10,15
1,4,5,11,14
1,4,5,12,13
1,4,6,7,17
1,4,6,8,16
1,4,6,9,15
1,4,6,10,14
1,4,6,11,13
1,4,7,8,15
1,4,7,9,14
1,4,7,10,13
1,4,7,11,12
1,4,8,9,13
1,4,8,10,12
1,4,9,10,11
1,5,6,7,16
1,5,6,8,15
1,5,6,9,14
1,5,6,10,13
1,5,6,11,12
1,5,7,8,14
1,5,7,9,13
1,5,7,10,12
1,5,8,9,12
1,5,8,10,11
1,6,7,8,13
1,6,7,9,12
1,6,7,10,11
1,6,8,9,11
1,7,8,9,10
2,3,4,5,21
2,3,4,6,20
2,3,4,7,19
2,3,4,8,18
2,3,4,9,17
2,3,4,10,16
2,3,4,11,15
2,3,4,12,14
2,3,5,6,19
2,3,5,7,18
2,3,5,8,17
2,3,5,9,16
2,3,5,10,15
2,3,5,11,14
2,3,5,12,13
2,3,6,7,17
2,3,6,8,16
2,3,6,9,15
2,3,6,10,14
2,3,6,11,13
2,3,7,8,15
2,3,7,9,14
2,3,7,10,13
2,3,7,11,12
2,3,8,9,13
2,3,8,10,12
2,3,9,10,11
2,4,5,6,18
2,4,5,7,17
2,4,5,8,16
2,4,5,9,15
2,4,5,10,14
2,4,5,11,13
2,4,6,7,16
2,4,6,8,15
2,4,6,9,14
2,4,6,10,13
2,4,6,11,12
2,4,7,8,14
2,4,7,9,13
2,4,7,10,12
2,4,8,9,12
2,4,8,10,11
2,5,6,7,15
2,5,6,8,14
2,5,6,9,13
2,5,6,10,12
2,5,7,8,13
2,5,7,9,12
2,5,7,10,11
2,5,8,9,11
2,6,7,8,12
2,6,7,9,11
2,6,8,9,10
3,4,5,6,17
3,4,5,7,16
3,4,5,8,15
3,4,5,9,14
3,4,5,10,13
3,4,5,11,12
3,4,6,7,15
3,4,6,8,14
3,4,6,9,13
3,4,6,10,12
3,4,7,8,13
3,4,7,9,12
3,4,7,10,11
3,4,8,9,11
3,5,6,7,14
3,5,6,8,13
3,5,6,9,12
3,5,6,10,11
3,5,7,8,12
3,5,7,9,11
3,5,8,9,10
3,6,7,8,11
3,6,7,9,10
4,5,6,7,13
4,5,6,8,12
4,5,6,9,11
4,5,7,8,11
4,5,7,9,10
4,6,7,8,10
5,6,7,8,9
1,2,3,4,5,20
1,2,3,4,6,19
1,2,3,4,7,18
1,2,3,4,8,17
1,2,3,4,9,16
1,2,3,4,10,15
1,2,3,4,11,14
1,2,3,4,12,13
1,2,3,5,6,18
1,2,3,5,7,17
1,2,3,5,8,16
1,2,3,5,9,15
1,2,3,5,10,14
1,2,3,5,11,13
1,2,3,6,7,16
1,2,3,6,8,15
1,2,3,6,9,14
1,2,3,6,10,13
1,2,3,6,11,12
1,2,3,7,8,14
1,2,3,7,9,13
1,2,3,7,10,12
1,2,3,8,9,12
1,2,3,8,10,11
1,2,4,5,6,17
1,2,4,5,7,16
1,2,4,5,8,15
1,2,4,5,9,14
1,2,4,5,10,13
1,2,4,5,11,12
1,2,4,6,7,15
1,2,4,6,8,14
1,2,4,6,9,13
1,2,4,6,10,12
1,2,4,7,8,13
1,2,4,7,9,12
1,2,4,7,10,11
1,2,4,8,9,11
1,2,5,6,7,14
1,2,5,6,8,13
1,2,5,6,9,12
1,2,5,6,10,11
1,2,5,7,8,12
1,2,5,7,9,11
1,2,5,8,9,10
1,2,6,7,8,11
1,2,6,7,9,10
1,3,4,5,6,16
1,3,4,5,7,15
1,3,4,5,8,14
1,3,4,5,9,13
1,3,4,5,10,12
1,3,4,6,7,14
1,3,4,6,8,13
1,3,4,6,9,12
1,3,4,6,10,11
1,3,4,7,8,12
1,3,4,7,9,11
1,3,4,8,9,10
1,3,5,6,7,13
1,3,5,6,8,12
1,3,5,6,9,11
1,3,5,7,8,11
1,3,5,7,9,10
1,3,6,7,8,10
1,4,5,6,7,12
1,4,5,6,8,11
1,4,5,6,9,10
1,4,5,7,8,10
1,4,6,7,8,9
2,3,4,5,6,15
2,3,4,5,7,14
2,3,4,5,8,13
2,3,4,5,9,12
2,3,4,5,10,11
2,3,4,6,7,13
2,3,4,6,8,12
2,3,4,6,9,11
2,3,4,7,8,11
2,3,4,7,9,10
2,3,5,6,7,12
2,3,5,6,8,11
2,3,5,6,9,10
2,3,5,7,8,10
2,3,6,7,8,9
2,4,5,6,7,11
2,4,5,6,8,10
2,4,5,7,8,9
3,4,5,6,7,10
3,4,5,6,8,9
1,2,3,4,5,6,14
1,2,3,4,5,7,13
1,2,3,4,5,8,12
1,2,3,4,5,9,11
1,2,3,4,6,7,12
1,2,3,4,6,8,11
1,2,3,4,6,9,10
1,2,3,4,7,8,10
1,2,3,5,6,7,11
1,2,3,5,6,8,10
1,2,3,5,7,8,9
1,2,4,5,6,7,10
1,2,4,5,6,8,9
1,3,4,5,6,7,9
2,3,4,5,6,7,8
