1,37
2,36
3,35
4,34
5,33
6,32
7,31
8,30
9,29
10,28
11,27
12,26
13,25
14,24
15,23
16,22
17,21
18,20
1,2,35
1,3,34
1,4,33
1,5,32
1,6,31
1,7,30
1,8,29
1,9,28
1,10,27
1,11,26
1,12,25
1,13,24
1,14,23
1,15,22
1,16,21
1,17,20
1,18,19
2,3,33
2,4,32
2,5,31
2,6,30
2,7,29
2,8,28
2,9,27
2,10,26
2,11,25
2,12,24
2,13,23
2,14,22
2,15,21
2,16,20
2,17,19
3,4,31
3,5,30
3,6,29
3,7,28
3,8,27
3,9,26
3,10,25
3,11,24
3,12,23
3,13,22
3,14,21
3,15,20
3,16,19
3,17,18
4,5,29
4,6,28
4,7,27
4,8,26
4,9,25
4,10,24
4,11,23
4,12,22
4,13,21
4,14,20
4,15,19
4,16,18
5,6,27
5,7,26
5,8,25
5,9,24
5,10,23
5,11,22
5,12,21
5,13,20
5,14,19
5,15,18
5,16,17
6,7,25
6,8,24
6,9,23
6,10,22
6,11,21
6,12,20
6,13,19
6,14,18
6,15,17
7,8,23
7,9,22
7,10,21
7,11,20
7,12,19
7,13,18
7,14,17
7,15,16
8,9,21
8,10,20
8,11,19
8,12,18
8,13,17
8,14,16
9,10,19
9,11,18
9,12,17
9,13,16
9,14,15
10,11,17
10,12,16
10,13,15
11,12,15
11,13,14
1,2,3,32
1,2,4,31
1,2,5,30
1,2,6,29
1,2,7,28
1,2,8,27
1,2,9,26
1,2,10,25
1,2,11,24
1,2,12,23
1,2,13,22
1,2,14,21
1,2,15,20
1,2,16,19
1,2,17,18
1,3,4,30
1,3,5,29
1,3,6,28
1,3,7,27
1,3,8,26
1,3,9,25
1,3,10,24
1,3,11,23
1,3,12,22
1,3,13,21
1,3,14,20
1,3,15,19
1,3,16,18
1,4,5,28
1,4,6,27
1,4,7,26
1,4,8,25
1,4,9,24
1,4,10,23
1,4,11,22
1,4,12,21
1,4,13,20
1,4,14,19
1,4,15,18
1,4,16,17
1,5,6,26
1,5,7,25
1,5,8,24
1,5,9,23
1,5,10,22
1,5,11,21
1,5,12,20
1,5,13,19
1,5,14,18
1,5,15,17
1,6,7,24
1,6,8,23
1,6,9,22
1,6,10,21
1,6,11,20
1,6,12,19
1,6,13,18
1,6,14,17
1,6,15,16
1,7,8,22
1,7,9,21
1,7,10,20
1,7,11,19
1,7,12,18
1,7,13,17
1,7,14,16
1,8,9,20
1,8,10,19
1,8,11,18
1,8,12,17
1,8,13,16
1,8,14,15
1,9,10,18
1,9,11,17
1,9,12,16
1,9,13,15
1,10,11,16
1,10,12,15
1,10,13,14
1,11,12,14
2,3,4,29
2,3,5,28
2,3,6,27
2,3,7,26
2,3,8,25
2,3,9,24
2,3,10,23
2,3,11,22
2,3,12,21
2,3,13,20
2,3,14,19
2,3,15,18
2,3,16,17
2,4,5,27
2,4,6,26
2,4,7,25
2,4,8,24
2,4,9,23
2,4,10,22
2,4,11,21
2,4,12,20
2,4,13,19
2,4,14,18
2,4,15,17
2,5,6,25
2,5,7,24
2,5,8,23
2,5,9,22
2,5,10,21
2,5,11,20
2,5,12,19
2,5,13,18
2,5,14,17
2,5,15,16
2,6,7,23
2,6,8,22
2,6,9,21
2,6,10,20
2,6,11,19
2,6,12,18
2,6,13,17
2,6,14,16
2,7,8,21
2,7,9,20
2,7,10,19
2,7,11,18
2,7,12,17
2,7,13,16
2,7,14,15
2,8,9,19
2,8,10,18
2,8,11,17
2,8,12,16
2,8,13,15
2,9,10,17
2,9,11,16
2,9,12,15
2,9,13,14
2,10,11,15
2,10,12,14
2,11,12,13
3,4,5,26
3,4,6,25
3,4,7,24
3,4,8,23
3,4,9,22
3,4,10,21
3,4,11,20
3,4,12,19
3,4,13,18
3,4,14,17
3,4,15,16
3,5,6,24
3,5,7,23
3,5,8,22
3,5,9,21
3,5,10,20
3,5,11,19
3,5,12,18
3,5,13,17
3,5,14,16
3,6,7,22
3,6,8,21
3,6,9,20
3,6,10,19
3,6,11,18
3,6,12,17
3,6,13,16
3,6,14,15
3,7,8,20
3,7,9,19
3,7,10,18
3,7,11,17
3,7,12,16
3,7,13,15
3,8,9,18
3,8,10,17
3,8,11,16
3,8,12,15
3,8,13,14
3,9,10,16
3,9,11,15
3,9,12,14
3,10,11,14
3,10,12,13
4,5,6,23
4,5,7,22
4,5,8,21
4,5,9,20
4,5,10,19
4,5,11,18
4,5,12,17
4,5,13,16
4,5,14,15
4,6,7,21
4,6,8,20
4,6,9,19
4,6,10,18
4,6,11,17
4,6,12,16
4,6,13,15
4,7,8,19
4,7,9,18
4,7,10,17
4,7,11,16
4,7,12,15
4,7,13,14
4,8,9,17
4,8,10,16
4,8,11,15
4,8,12,14
4,9,10,15
4,9,11,14
4,9,12,13
4,10,11,13
5,6,7,20
5,6,8,19
5,6,9,18
5,6,10,17
5,6,11,16
5,6,12,15
5,6,13,14
5,7,8,18
5,7,9,17
5,7,10,16
5,7,11,15
5,7,12,14
5,8,9,16
5,8,10,15
5,8,11,14
5,8,12,13
5,9,10,14
5,9,11,13
5,10,11,12
6,7,8,17
6,7,9,16
6,7,10,15
6,7,11,14
6,7,12,13
6,8,9,15
6,8,10,14
6,8,11,13
6,9,10,13
6,9,11,12
7,8,9,14
7,8,10,13
7,8,11,12
7,9,10,12
8,9,10,11
1,2,3,4,28
1,2,3,5,27
1,2,3,6,26
1,2,3,7,25
1,2,3,8,24
1,2,3,9,23
1,2,3,10,22
1,2,3,11,21
1,2,3,12,20
1,2,3,13,19
1,2,3,14,18
1,2,3,15,17
1,2,4,5,26
1,2,4,6,25
1,2,4,7,24
1,2,4,8,23
1,2,4,9,22
1,2,4,10,21
1,2,4,11,20
1,2,4,12,19
1,2,4,13,18
1,2,4,14,17
1,2,4,15,16
1,2,5,6,24
1,2,5,7,23
1,2,5,8,22
1,2,5,9,21
1,2,5,10,20
1,2,5,11,19
1,2,5,12,18
1,2,5,13,17
1,2,5,14,16
1,2,6,7,22
1,2,6,8,21
1,2,6,9,20
1,2,6,10,19
1,2,6,11,18
1,2,6,12,17
1,2,6,13,16
1,2,6,14,15
1,2,7,8,20
1,2,7,9,19
1,2,7,10,18
1,2,7,11,17
1,2,7,12,16
1,2,7,13,15
1,2,8,9,18
1,2,8,10,17
1,2,8,11,16
1,2,8,12,15
1,2,8,13,14
1,2,9,10,16
1,2,9,11,15
1,2,9,12,14
1,2,10,11,14
1,2,10,12,13
1,3,4,5,25
1,3,4,6,24
1,3,4,7,23
1,3,4,8,22
1,3,4,9,21
1,3,4,10,20
1,3,4,11,19
1,3,4,12,18
1,3,4,13,17
1,3,4,14,16
1,3,5,6,23
1,3,5,7,22
1,3,5,8,21
1,3,5,9,20
